video_id,theta_commit,a_independent,n_confident_base_finals,base_abstention_rate,video_determined,n_base_seeds,n_crossing_seeds,n_noncrossing_seeds,n_unscorable_seeds,crossing_seed_fraction_scorable,mean_first_crossing,median_first_crossing,n_sustained_crossing_seeds
1002,0.5,1.0,17,0.0,True,17,0,0,0,0.0,,,0
1003,0.5,0.09090909090909091,11,0.3529411764705882,False,17,16,1,0,0.9411764705882353,0.4,0.4,15
1048,0.5,0.6153846153846154,14,0.17647058823529416,False,17,17,0,0,1.0,0.08529411764705884,0.05,16
1209,0.5,0.5294117647058824,17,0.0,False,17,16,1,0,0.9411764705882353,0.1125,0.05,16
1386,0.5,0.7142857142857143,7,0.5882352941176471,False,17,15,0,2,1.0,0.1733333333333333,0.05,15
1421,0.5,0.8571428571428571,14,0.17647058823529416,False,17,17,0,0,1.0,0.18823529411764706,0.05,15
1459,0.5,0.31666666666666665,16,0.05882352941176472,False,17,16,1,0,0.9411764705882353,0.446875,0.4,14
1517,0.5,0.4666666666666667,10,0.4117647058823529,False,17,17,0,0,1.0,0.19999999999999998,0.05,14
1868,0.5,0.06666666666666667,6,0.6470588235294117,False,17,16,1,0,0.9411764705882353,0.2375,0.2,11
1893,0.5,0.4696969696969697,12,0.2941176470588235,False,17,17,0,0,1.0,0.1411764705882353,0.05,16
1929,0.5,0.5274725274725275,14,0.17647058823529416,False,17,17,0,0,1.0,0.30294117647058827,0.25,16
194,0.5,0.2948717948717949,13,0.23529411764705888,False,17,15,2,0,0.8823529411764706,0.20333333333333328,0.05,14
1956,0.5,1.0,17,0.0,True,17,0,0,0,0.0,,,0
1964,0.5,1.0,4,0.7647058823529411,True,17,0,0,0,0.0,,,0
2106,0.5,0.17857142857142858,8,0.5294117647058824,False,17,15,2,0,0.8823529411764706,0.1733333333333333,0.15,15
2372,0.5,0.7523809523809524,15,0.11764705882352944,False,17,14,3,0,0.8235294117647058,0.16071428571428567,0.05,13
2436,0.5,0.6,5,0.7058823529411764,False,17,14,3,0,0.8235294117647058,0.36071428571428577,0.35,13
2491,0.5,0.5164835164835165,14,0.17647058823529416,False,17,17,0,0,1.0,0.23823529411764705,0.15,16
2511,0.5,0.17857142857142858,8,0.5294117647058824,False,17,16,1,0,0.9411764705882353,0.390625,0.35,12
2603,0.5,0.875,16,0.05882352941176472,False,17,16,1,0,0.9411764705882353,0.375,0.25,15
2689,0.5,0.3333333333333333,15,0.11764705882352944,False,17,16,1,0,0.9411764705882353,0.34375,0.2,15
2803,0.5,0.32142857142857145,8,0.5294117647058824,False,17,16,0,1,1.0,0.246875,0.1,15
2817,0.5,0.3333333333333333,12,0.2941176470588235,False,17,15,2,0,0.8823529411764706,0.29,0.25,13
2881,0.5,1.0,17,0.0,True,17,0,0,0,0.0,,,0
3114,0.5,1.0,12,0.2941176470588235,True,17,0,0,0,0.0,,,0
3273,0.5,0.24358974358974358,13,0.23529411764705888,False,17,16,1,0,0.9411764705882353,0.34687500000000004,0.35,12
3411,0.5,0.875,16,0.05882352941176472,False,17,17,0,0,1.0,0.14705882352941177,0.05,13
3780,0.5,0.16666666666666666,13,0.23529411764705888,False,17,17,0,0,1.0,0.11764705882352941,0.05,16
3912,0.5,1.0,17,0.0,True,17,0,0,0,0.0,,,0
3985,0.5,0.19444444444444445,9,0.47058823529411764,False,17,17,0,0,1.0,0.40882352941176464,0.35,15
4170,0.5,0.8461538461538461,13,0.23529411764705888,False,17,17,0,0,1.0,0.16470588235294117,0.05,15
4268,0.5,0.42424242424242425,12,0.2941176470588235,False,17,16,1,0,0.9411764705882353,0.359375,0.3,15
4283,0.5,0.2222222222222222,9,0.47058823529411764,False,17,15,2,0,0.8823529411764706,0.38,0.35,12
43,0.5,,1,0.9411764705882353,False,17,0,0,17,0.0,,,0
4315,0.5,0.8,10,0.4117647058823529,False,17,16,1,0,0.9411764705882353,0.146875,0.15,14
4510,0.5,0.2777777777777778,9,0.47058823529411764,False,17,17,0,0,1.0,0.16176470588235295,0.15,15
452,0.5,0.20512820512820512,13,0.23529411764705888,False,17,16,1,0,0.9411764705882353,0.384375,0.3,16
4563,0.5,0.6764705882352942,17,0.0,False,17,17,0,0,1.0,0.24705882352941183,0.15,14
457,0.5,0.4358974358974359,13,0.23529411764705888,False,17,15,2,0,0.8823529411764706,0.2433333333333333,0.15,15
4635,0.5,0.3055555555555556,9,0.47058823529411764,False,17,16,0,1,1.0,0.24375000000000002,0.2,15
4863,0.5,0.4666666666666667,6,0.6470588235294117,False,17,9,0,8,1.0,0.08333333333333333,0.05,9
4935,0.5,0.14285714285714285,7,0.5882352941176471,False,17,15,2,0,0.8823529411764706,0.18999999999999997,0.15,11
596,0.5,0.19230769230769232,13,0.23529411764705888,False,17,16,1,0,0.9411764705882353,0.29375,0.25,15
658,0.5,1.0,17,0.0,True,17,0,0,0,0.0,,,0
662,0.5,1.0,17,0.0,True,17,0,0,0,0.0,,,0
819,0.5,0.6545454545454545,11,0.3529411764705882,False,17,16,1,0,0.9411764705882353,0.23125,0.05,14
955,0.5,1.0,15,0.11764705882352944,True,17,0,0,0,0.0,,,0
96,0.5,0.4945054945054945,14,0.17647058823529416,False,17,17,0,0,1.0,0.25,0.15,15
1002,0.6,1.0,17,0.0,True,17,0,0,0,0.0,,,0
1003,0.6,0.09090909090909091,11,0.3529411764705882,False,17,15,2,0,0.8823529411764706,0.44,0.35,15
1048,0.6,0.6153846153846154,14,0.17647058823529416,False,17,17,0,0,1.0,0.12058823529411763,0.05,16
1209,0.6,0.5294117647058824,17,0.0,False,17,16,1,0,0.9411764705882353,0.11875,0.05,16
1386,0.6,0.7142857142857143,7,0.5882352941176471,False,17,15,0,2,1.0,0.1733333333333333,0.05,15
1421,0.6,0.8571428571428571,14,0.17647058823529416,False,17,17,0,0,1.0,0.18823529411764706,0.05,15
1459,0.6,0.31666666666666665,16,0.05882352941176472,False,17,13,4,0,0.7647058823529411,0.41923076923076924,0.35,12
1517,0.6,0.4666666666666667,10,0.4117647058823529,False,17,17,0,0,1.0,0.2176470588235294,0.05,14
1868,0.6,0.06666666666666667,6,0.6470588235294117,False,17,15,2,0,0.8823529411764706,0.25,0.25,11
1893,0.6,0.4696969696969697,12,0.2941176470588235,False,17,17,0,0,1.0,0.17352941176470588,0.05,16
1929,0.6,0.5274725274725275,14,0.17647058823529416,False,17,17,0,0,1.0,0.31470588235294117,0.25,16
194,0.6,0.2948717948717949,13,0.23529411764705888,False,17,15,2,0,0.8823529411764706,0.2566666666666666,0.05,14
1956,0.6,1.0,17,0.0,True,17,0,0,0,0.0,,,0
1964,0.6,1.0,4,0.7647058823529411,True,17,0,0,0,0.0,,,0
2106,0.6,0.17857142857142858,8,0.5294117647058824,False,17,15,2,0,0.8823529411764706,0.1933333333333333,0.15,15
2372,0.6,0.7523809523809524,15,0.11764705882352944,False,17,14,3,0,0.8235294117647058,0.16071428571428567,0.05,13
2436,0.6,0.6,5,0.7058823529411764,False,17,14,3,0,0.8235294117647058,0.37142857142857144,0.35,13
2491,0.6,0.5164835164835165,14,0.17647058823529416,False,17,17,0,0,1.0,0.2558823529411765,0.15,16
2511,0.6,0.17857142857142858,8,0.5294117647058824,False,17,14,3,0,0.8235294117647058,0.42499999999999993,0.4,12
2603,0.6,0.875,16,0.05882352941176472,False,17,16,1,0,0.9411764705882353,0.375,0.25,15
2689,0.6,0.3333333333333333,15,0.11764705882352944,False,17,16,1,0,0.9411764705882353,0.43437500000000007,0.3,14
2803,0.6,0.32142857142857145,8,0.5294117647058824,False,17,16,0,1,1.0,0.28437500000000004,0.1,15
2817,0.6,0.3333333333333333,12,0.2941176470588235,False,17,15,2,0,0.8823529411764706,0.33333333333333326,0.35,13
2881,0.6,1.0,17,0.0,True,17,0,0,0,0.0,,,0
3114,0.6,1.0,12,0.2941176470588235,True,17,0,0,0,0.0,,,0
3273,0.6,0.24358974358974358,13,0.23529411764705888,False,17,15,2,0,0.8823529411764706,0.3766666666666667,0.35,10
3411,0.6,0.875,16,0.05882352941176472,False,17,17,0,0,1.0,0.14705882352941177,0.05,13
3780,0.6,0.16666666666666666,13,0.23529411764705888,False,17,16,1,0,0.9411764705882353,0.153125,0.05,14
3912,0.6,1.0,17,0.0,True,17,0,0,0,0.0,,,0
3985,0.6,0.19444444444444445,9,0.47058823529411764,False,17,16,1,0,0.9411764705882353,0.43437499999999996,0.3,14
4170,0.6,0.8461538461538461,13,0.23529411764705888,False,17,17,0,0,1.0,0.16470588235294117,0.05,15
4268,0.6,0.42424242424242425,12,0.2941176470588235,False,17,15,2,0,0.8823529411764706,0.43666666666666665,0.45,15
4283,0.6,0.2222222222222222,9,0.47058823529411764,False,17,12,5,0,0.7058823529411765,0.3833333333333333,0.3,11
43,0.6,,1,0.9411764705882353,False,17,0,0,17,0.0,,,0
4315,0.6,0.8,10,0.4117647058823529,False,17,16,1,0,0.9411764705882353,0.146875,0.15,14
4510,0.6,0.2777777777777778,9,0.47058823529411764,False,17,17,0,0,1.0,0.23529411764705882,0.15,15
452,0.6,0.20512820512820512,13,0.23529411764705888,False,17,16,1,0,0.9411764705882353,0.39375,0.3,16
4563,0.6,0.6764705882352942,17,0.0,False,17,17,0,0,1.0,0.24705882352941183,0.15,14
457,0.6,0.4358974358974359,13,0.23529411764705888,False,17,15,2,0,0.8823529411764706,0.2633333333333333,0.15,15
4635,0.6,0.3055555555555556,9,0.47058823529411764,False,17,16,0,1,1.0,0.275,0.2,15
4863,0.6,0.4666666666666667,6,0.6470588235294117,False,17,9,0,8,1.0,0.08333333333333333,0.05,9
4935,0.6,0.14285714285714285,7,0.5882352941176471,False,17,15,2,0,0.8823529411764706,0.18999999999999997,0.15,10
596,0.6,0.19230769230769232,13,0.23529411764705888,False,17,16,1,0,0.9411764705882353,0.35624999999999996,0.35,15
658,0.6,1.0,17,0.0,True,17,0,0,0,0.0,,,0
662,0.6,1.0,17,0.0,True,17,0,0,0,0.0,,,0
819,0.6,0.6545454545454545,11,0.3529411764705882,False,17,16,1,0,0.9411764705882353,0.23125,0.05,14
955,0.6,1.0,15,0.11764705882352944,True,17,0,0,0,0.0,,,0
96,0.6,0.4945054945054945,14,0.17647058823529416,False,17,15,2,0,0.8823529411764706,0.28666666666666657,0.15,15
1002,0.7,1.0,17,0.0,True,17,0,0,0,0.0,,,0
1003,0.7,0.09090909090909091,11,0.3529411764705882,False,17,15,2,0,0.8823529411764706,0.4933333333333334,0.45,15
1048,0.7,0.6153846153846154,14,0.17647058823529416,False,17,17,0,0,1.0,0.12058823529411763,0.05,16
1209,0.7,0.5294117647058824,17,0.0,False,17,16,1,0,0.9411764705882353,0.15,0.05,16
1386,0.7,0.7142857142857143,7,0.5882352941176471,False,17,15,0,2,1.0,0.1733333333333333,0.05,15
1421,0.7,0.8571428571428571,14,0.17647058823529416,False,17,17,0,0,1.0,0.18823529411764706,0.05,15
1459,0.7,0.31666666666666665,16,0.05882352941176472,False,17,12,5,0,0.7058823529411765,0.4375,0.4,11
1517,0.7,0.4666666666666667,10,0.4117647058823529,False,17,17,0,0,1.0,0.2235294117647059,0.15,14
1868,0.7,0.06666666666666667,6,0.6470588235294117,False,17,15,2,0,0.8823529411764706,0.31333333333333335,0.25,11
1893,0.7,0.4696969696969697,12,0.2941176470588235,False,17,17,0,0,1.0,0.24117647058823527,0.25,16
1929,0.7,0.5274725274725275,14,0.17647058823529416,False,17,17,0,0,1.0,0.36764705882352944,0.25,16
194,0.7,0.2948717948717949,13,0.23529411764705888,False,17,15,2,0,0.8823529411764706,0.2633333333333333,0.15,13
1956,0.7,1.0,17,0.0,True,17,0,0,0,0.0,,,0
1964,0.7,1.0,4,0.7647058823529411,True,17,0,0,0,0.0,,,0
2106,0.7,0.17857142857142858,8,0.5294117647058824,False,17,15,2,0,0.8823529411764706,0.1933333333333333,0.15,15
2372,0.7,0.7523809523809524,15,0.11764705882352944,False,17,14,3,0,0.8235294117647058,0.16071428571428567,0.05,13
2436,0.7,0.6,5,0.7058823529411764,False,17,14,3,0,0.8235294117647058,0.37142857142857144,0.35,13
2491,0.7,0.5164835164835165,14,0.17647058823529416,False,17,17,0,0,1.0,0.27647058823529413,0.15,16
2511,0.7,0.17857142857142858,8,0.5294117647058824,False,17,12,5,0,0.7058823529411765,0.5166666666666666,0.525,12
2603,0.7,0.875,16,0.05882352941176472,False,17,16,1,0,0.9411764705882353,0.375,0.25,15
2689,0.7,0.3333333333333333,15,0.11764705882352944,False,17,15,2,0,0.8823529411764706,0.44000000000000006,0.25,13
2803,0.7,0.32142857142857145,8,0.5294117647058824,False,17,16,0,1,1.0,0.290625,0.15,15
2817,0.7,0.3333333333333333,12,0.2941176470588235,False,17,15,2,0,0.8823529411764706,0.35666666666666663,0.35,13
2881,0.7,1.0,17,0.0,True,17,0,0,0,0.0,,,0
3114,0.7,1.0,12,0.2941176470588235,True,17,0,0,0,0.0,,,0
3273,0.7,0.24358974358974358,13,0.23529411764705888,False,17,15,2,0,0.8823529411764706,0.5433333333333333,0.45,10
3411,0.7,0.875,16,0.05882352941176472,False,17,17,0,0,1.0,0.14705882352941177,0.05,13
3780,0.7,0.16666666666666666,13,0.23529411764705888,False,17,16,1,0,0.9411764705882353,0.165625,0.1,14
3912,0.7,1.0,17,0.0,True,17,0,0,0,0.0,,,0
3985,0.7,0.19444444444444445,9,0.47058823529411764,False,17,16,1,0,0.9411764705882353,0.46562499999999996,0.3,14
4170,0.7,0.8461538461538461,13,0.23529411764705888,False,17,17,0,0,1.0,0.16470588235294117,0.05,15
4268,0.7,0.42424242424242425,12,0.2941176470588235,False,17,15,2,0,0.8823529411764706,0.5,0.45,14
4283,0.7,0.2222222222222222,9,0.47058823529411764,False,17,12,5,0,0.7058823529411765,0.46666666666666673,0.45,11
43,0.7,,1,0.9411764705882353,False,17,0,0,17,0.0,,,0
4315,0.7,0.8,10,0.4117647058823529,False,17,16,1,0,0.9411764705882353,0.146875,0.15,14
4510,0.7,0.2777777777777778,9,0.47058823529411764,False,17,16,1,0,0.9411764705882353,0.309375,0.25,15
452,0.7,0.20512820512820512,13,0.23529411764705888,False,17,16,1,0,0.9411764705882353,0.46875,0.45,16
4563,0.7,0.6764705882352942,17,0.0,False,17,17,0,0,1.0,0.24705882352941183,0.15,14
457,0.7,0.4358974358974359,13,0.23529411764705888,False,17,15,2,0,0.8823529411764706,0.36,0.35,15
4635,0.7,0.3055555555555556,9,0.47058823529411764,False,17,16,0,1,1.0,0.303125,0.2,15
4863,0.7,0.4666666666666667,6,0.6470588235294117,False,17,9,0,8,1.0,0.08333333333333333,0.05,9
4935,0.7,0.14285714285714285,7,0.5882352941176471,False,17,15,2,0,0.8823529411764706,0.22666666666666663,0.15,10
596,0.7,0.19230769230769232,13,0.23529411764705888,False,17,16,1,0,0.9411764705882353,0.40625,0.4,15
658,0.7,1.0,17,0.0,True,17,0,0,0,0.0,,,0
662,0.7,1.0,17,0.0,True,17,0,0,0,0.0,,,0
819,0.7,0.6545454545454545,11,0.3529411764705882,False,17,16,1,0,0.9411764705882353,0.23125,0.05,14
955,0.7,1.0,15,0.11764705882352944,True,17,0,0,0,0.0,,,0
96,0.7,0.4945054945054945,14,0.17647058823529416,False,17,15,2,0,0.8823529411764706,0.30999999999999994,0.25,15
1002,0.8,1.0,17,0.0,True,17,0,0,0,0.0,,,0
1003,0.8,0.09090909090909091,11,0.3529411764705882,False,17,15,2,0,0.8823529411764706,0.56,0.45,15
1048,0.8,0.6153846153846154,14,0.17647058823529416,False,17,17,0,0,1.0,0.12058823529411763,0.05,16
1209,0.8,0.5294117647058824,17,0.0,False,17,16,1,0,0.9411764705882353,0.15,0.05,16
1386,0.8,0.7142857142857143,7,0.5882352941176471,False,17,15,0,2,1.0,0.1733333333333333,0.05,15
1421,0.8,0.8571428571428571,14,0.17647058823529416,False,17,17,0,0,1.0,0.18823529411764706,0.05,15
1459,0.8,0.31666666666666665,16,0.05882352941176472,False,17,12,5,0,0.7058823529411765,0.4875,0.45,10
1517,0.8,0.4666666666666667,10,0.4117647058823529,False,17,17,0,0,1.0,0.2235294117647059,0.15,14
1868,0.8,0.06666666666666667,6,0.6470588235294117,False,17,14,3,0,0.8235294117647058,0.35000000000000003,0.3,11
1893,0.8,0.4696969696969697,12,0.2941176470588235,False,17,17,0,0,1.0,0.24117647058823527,0.25,16
1929,0.8,0.5274725274725275,14,0.17647058823529416,False,17,17,0,0,1.0,0.36764705882352944,0.25,16
194,0.8,0.2948717948717949,13,0.23529411764705888,False,17,14,3,0,0.8235294117647058,0.39999999999999997,0.25,12
1956,0.8,1.0,17,0.0,True,17,0,0,0,0.0,,,0
1964,0.8,1.0,4,0.7647058823529411,True,17,0,0,0,0.0,,,0
2106,0.8,0.17857142857142858,8,0.5294117647058824,False,17,15,2,0,0.8823529411764706,0.19999999999999998,0.15,15
2372,0.8,0.7523809523809524,15,0.11764705882352944,False,17,14,3,0,0.8235294117647058,0.16071428571428567,0.05,13
2436,0.8,0.6,5,0.7058823529411764,False,17,14,3,0,0.8235294117647058,0.37142857142857144,0.35,13
2491,0.8,0.5164835164835165,14,0.17647058823529416,False,17,17,0,0,1.0,0.27647058823529413,0.15,16
2511,0.8,0.17857142857142858,8,0.5294117647058824,False,17,12,5,0,0.7058823529411765,0.6041666666666666,0.675,12
2603,0.8,0.875,16,0.05882352941176472,False,17,16,1,0,0.9411764705882353,0.375,0.25,15
2689,0.8,0.3333333333333333,15,0.11764705882352944,False,17,13,4,0,0.7647058823529411,0.576923076923077,0.75,12
2803,0.8,0.32142857142857145,8,0.5294117647058824,False,17,16,0,1,1.0,0.315625,0.2,15
2817,0.8,0.3333333333333333,12,0.2941176470588235,False,17,15,2,0,0.8823529411764706,0.38999999999999996,0.35,13
2881,0.8,1.0,17,0.0,True,17,0,0,0,0.0,,,0
3114,0.8,1.0,12,0.2941176470588235,True,17,0,0,0,0.0,,,0
3273,0.8,0.24358974358974358,13,0.23529411764705888,False,17,15,2,0,0.8823529411764706,0.58,0.45,10
3411,0.8,0.875,16,0.05882352941176472,False,17,17,0,0,1.0,0.14705882352941177,0.05,13
3780,0.8,0.16666666666666666,13,0.23529411764705888,False,17,14,3,0,0.8235294117647058,0.18928571428571422,0.05,14
3912,0.8,1.0,17,0.0,True,17,0,0,0,0.0,,,0
3985,0.8,0.19444444444444445,9,0.47058823529411764,False,17,16,1,0,0.9411764705882353,0.475,0.3,14
4170,0.8,0.8461538461538461,13,0.23529411764705888,False,17,17,0,0,1.0,0.16470588235294117,0.05,15
4268,0.8,0.42424242424242425,12,0.2941176470588235,False,17,15,2,0,0.8823529411764706,0.52,0.6,14
4283,0.8,0.2222222222222222,9,0.47058823529411764,False,17,11,6,0,0.6470588235294118,0.49545454545454554,0.45,10
43,0.8,,1,0.9411764705882353,False,17,0,0,17,0.0,,,0
4315,0.8,0.8,10,0.4117647058823529,False,17,16,1,0,0.9411764705882353,0.146875,0.15,14
4510,0.8,0.2777777777777778,9,0.47058823529411764,False,17,16,1,0,0.9411764705882353,0.33437500000000003,0.25,15
452,0.8,0.20512820512820512,13,0.23529411764705888,False,17,16,1,0,0.9411764705882353,0.496875,0.525,16
4563,0.8,0.6764705882352942,17,0.0,False,17,17,0,0,1.0,0.24705882352941183,0.15,14
457,0.8,0.4358974358974359,13,0.23529411764705888,False,17,15,2,0,0.8823529411764706,0.36,0.35,15
4635,0.8,0.3055555555555556,9,0.47058823529411764,False,17,16,0,1,1.0,0.303125,0.2,15
4863,0.8,0.4666666666666667,6,0.6470588235294117,False,17,9,0,8,1.0,0.08333333333333333,0.05,9
4935,0.8,0.14285714285714285,7,0.5882352941176471,False,17,15,2,0,0.8823529411764706,0.22666666666666663,0.15,10
596,0.8,0.19230769230769232,13,0.23529411764705888,False,17,16,1,0,0.9411764705882353,0.4875,0.45,15
658,0.8,1.0,17,0.0,True,17,0,0,0,0.0,,,0
662,0.8,1.0,17,0.0,True,17,0,0,0,0.0,,,0
819,0.8,0.6545454545454545,11,0.3529411764705882,False,17,16,1,0,0.9411764705882353,0.23125,0.05,14
955,0.8,1.0,15,0.11764705882352944,True,17,0,0,0,0.0,,,0
96,0.8,0.4945054945054945,14,0.17647058823529416,False,17,15,2,0,0.8823529411764706,0.30999999999999994,0.25,15
1002,0.9,1.0,17,0.0,True,17,0,0,0,0.0,,,0
1003,0.9,0.09090909090909091,11,0.3529411764705882,False,17,15,2,0,0.8823529411764706,0.56,0.45,15
1048,0.9,0.6153846153846154,14,0.17647058823529416,False,17,17,0,0,1.0,0.12058823529411763,0.05,16
1209,0.9,0.5294117647058824,17,0.0,False,17,16,1,0,0.9411764705882353,0.15,0.05,16
1386,0.9,0.7142857142857143,7,0.5882352941176471,False,17,15,0,2,1.0,0.1733333333333333,0.05,15
1421,0.9,0.8571428571428571,14,0.17647058823529416,False,17,17,0,0,1.0,0.18823529411764706,0.05,15
1459,0.9,0.31666666666666665,16,0.05882352941176472,False,17,12,5,0,0.7058823529411765,0.4875,0.45,10
1517,0.9,0.4666666666666667,10,0.4117647058823529,False,17,17,0,0,1.0,0.2235294117647059,0.15,14
1868,0.9,0.06666666666666667,6,0.6470588235294117,False,17,14,3,0,0.8235294117647058,0.35000000000000003,0.3,11
1893,0.9,0.4696969696969697,12,0.2941176470588235,False,17,17,0,0,1.0,0.24117647058823527,0.25,16
1929,0.9,0.5274725274725275,14,0.17647058823529416,False,17,17,0,0,1.0,0.36764705882352944,0.25,16
194,0.9,0.2948717948717949,13,0.23529411764705888,False,17,14,3,0,0.8235294117647058,0.39999999999999997,0.25,12
1956,0.9,1.0,17,0.0,True,17,0,0,0,0.0,,,0
1964,0.9,1.0,4,0.7647058823529411,True,17,0,0,0,0.0,,,0
2106,0.9,0.17857142857142858,8,0.5294117647058824,False,17,15,2,0,0.8823529411764706,0.19999999999999998,0.15,15
2372,0.9,0.7523809523809524,15,0.11764705882352944,False,17,14,3,0,0.8235294117647058,0.16071428571428567,0.05,13
2436,0.9,0.6,5,0.7058823529411764,False,17,14,3,0,0.8235294117647058,0.37142857142857144,0.35,13
2491,0.9,0.5164835164835165,14,0.17647058823529416,False,17,17,0,0,1.0,0.27647058823529413,0.15,16
2511,0.9,0.17857142857142858,8,0.5294117647058824,False,17,12,5,0,0.7058823529411765,0.6041666666666666,0.675,12
2603,0.9,0.875,16,0.05882352941176472,False,17,16,1,0,0.9411764705882353,0.375,0.25,15
2689,0.9,0.3333333333333333,15,0.11764705882352944,False,17,13,4,0,0.7647058823529411,0.576923076923077,0.75,12
2803,0.9,0.32142857142857145,8,0.5294117647058824,False,17,16,0,1,1.0,0.315625,0.2,15
2817,0.9,0.3333333333333333,12,0.2941176470588235,False,17,15,2,0,0.8823529411764706,0.38999999999999996,0.35,13
2881,0.9,1.0,17,0.0,True,17,0,0,0,0.0,,,0
3114,0.9,1.0,12,0.2941176470588235,True,17,0,0,0,0.0,,,0
3273,0.9,0.24358974358974358,13,0.23529411764705888,False,17,15,2,0,0.8823529411764706,0.58,0.45,10
3411,0.9,0.875,16,0.05882352941176472,False,17,17,0,0,1.0,0.14705882352941177,0.05,13
3780,0.9,0.16666666666666666,13,0.23529411764705888,False,17,14,3,0,0.8235294117647058,0.27499999999999997,0.1,14
3912,0.9,1.0,17,0.0,True,17,0,0,0,0.0,,,0
3985,0.9,0.19444444444444445,9,0.47058823529411764,False,17,16,1,0,0.9411764705882353,0.475,0.3,14
4170,0.9,0.8461538461538461,13,0.23529411764705888,False,17,17,0,0,1.0,0.16470588235294117,0.05,15
4268,0.9,0.42424242424242425,12,0.2941176470588235,False,17,15,2,0,0.8823529411764706,0.52,0.6,14
4283,0.9,0.2222222222222222,9,0.47058823529411764,False,17,11,6,0,0.6470588235294118,0.49545454545454554,0.45,10
43,0.9,,1,0.9411764705882353,False,17,0,0,17,0.0,,,0
4315,0.9,0.8,10,0.4117647058823529,False,17,16,1,0,0.9411764705882353,0.146875,0.15,14
4510,0.9,0.2777777777777778,9,0.47058823529411764,False,17,16,1,0,0.9411764705882353,0.33437500000000003,0.25,15
452,0.9,0.20512820512820512,13,0.23529411764705888,False,17,16,1,0,0.9411764705882353,0.496875,0.525,16
4563,0.9,0.6764705882352942,17,0.0,False,17,17,0,0,1.0,0.24705882352941183,0.15,14
457,0.9,0.4358974358974359,13,0.23529411764705888,False,17,15,2,0,0.8823529411764706,0.36,0.35,15
4635,0.9,0.3055555555555556,9,0.47058823529411764,False,17,16,0,1,1.0,0.303125,0.2,15
4863,0.9,0.4666666666666667,6,0.6470588235294117,False,17,9,0,8,1.0,0.08333333333333333,0.05,9
4935,0.9,0.14285714285714285,7,0.5882352941176471,False,17,15,2,0,0.8823529411764706,0.22666666666666663,0.15,10
596,0.9,0.19230769230769232,13,0.23529411764705888,False,17,16,1,0,0.9411764705882353,0.4875,0.45,15
658,0.9,1.0,17,0.0,True,17,0,0,0,0.0,,,0
662,0.9,1.0,17,0.0,True,17,0,0,0,0.0,,,0
819,0.9,0.6545454545454545,11,0.3529411764705882,False,17,16,1,0,0.9411764705882353,0.23125,0.05,14
955,0.9,1.0,15,0.11764705882352944,True,17,0,0,0,0.0,,,0
96,0.9,0.4945054945054945,14,0.17647058823529416,False,17,15,2,0,0.8823529411764706,0.30999999999999994,0.25,15
